artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
111,"Martin Vanden Bogaert Desjardins",315504,13bb7117-5115-b409-1dbb-1d9c1d70a5c9,1
27,"Remembrance of Italy",290693,ab107179-7106-937e-7676-e0263b02e530,1
4,"Priest and Boy",130551,1753b638-d4fb-8e45-3db9-92dde7f053da,1
27992,"A Sunday on La Grande Jatte — 1884",386597,4eddcf49-3efd-d993-fb1a-75d7e7d5b5a1,1
65,"Fishing Craft near the Cliffs at Collioure",291566,6983bf9e-3cd8-c42d-4c91-cd646c97399c,1
111628,Nighthawks,405800,e3ee52bc-24db-3da0-6e3d-dd102848ca6d,
656,"Lion (One of a Pair, South Pedestal)",375941,dea44a63-c84e-5ed0-a0af-f73b37c59ece,
6565,"American Gothic",406727,b94609f5-4753-ba4a-d6bc-9960f9f60915,
16,"The Fall of the Giants",288934,e82b61d4-1d5b-a15d-4d2e-ff9caca3fb51,1
20,"It Rocks but is Not Sunk",277843,67f10695-cb9d-f716-9cd0-902217ebb317,1
28,"Souvenir of Tuscany",292043,72cc9b54-7549-dda8-9720-51c36e67ba3b,1
24,"Portrait of Edouard Molé",309635,5df51c9d-dac5-d962-4d4b-300339219e54,1
19,"View of Ponte Lugano on the Anio, from Views of Rome",288648,7f5429b5-a966-ccbe-1ce3-7f131e96bf87,1
2068,Tassels,183028,613db21a-2374-30b4-3b2a-1fc1ee4b3795,1
20684,"Paris Street; Rainy Day",418198,f8fd76e9-c396-5678-36ed-6a348c904d27,1
93,"Geese in a Farmyard",132644,b0fa4234-a3a4-8db1-60e6-55b6fb046fac,1
28067,"The Old Guitarist",406640,ddacae05-9279-51b5-e9ab-00024ae01e27,
100,"Simon Vouet",303850,03c0fd45-3690-5fae-8023-4a3c16d3bfad,1
81,"Lame Beggar Asking for Alms",309891,22794b3c-eabf-24ce-26fc-d37be1d66cec,1
28560,"The Bedroom",414887,25c31d8d-21a4-9ea1-1d73-6a2eca4dda7e,1
145,"Louis Phélypeaux de la Vrillière",310347,7fe1cf87-87d0-70b6-af43-c105da516ebf,1
16568,"Water Lilies",261105,3c27b499-af56-f0d5-93b5-a7f2f1ad5813,1
22,"Villa Pamphili outside Porta S. Pancrazio, from Views of Rome",288582,a76844cc-cec8-6026-5609-50d3961aed4c,1
86,"Two warriors, one seated asleep on a foreground rock, from Figurine series",290685,c526537c-50b4-5a0a-8844-b386932c8497,1
87,"A warrior sits n a foreground block and gestues; two figure are behind him, from Figurine series",291730,86cecc57-ac83-ef3e-dd8f-7f24fce0effb,1
246,"Oinochoe (Pitcher)",116748,44abac03-4d36-aac6-f44e-ffe1d57dfb03,1
152961,"""Untitled"" (Portrait of Ross in L.A.)",238497,3679b064-5be6-20d4-e182-de13d4a9dd3e,
25,"Jeronimo de Bran",281308,b9be1be9-e78e-1681-723d-197d7983b23b,1
70,"The Double Bass Player",318551,467b538e-158b-7422-7f5a-0b87d325648b,1
34,"Joseph Sold by his Brothers",316012,2238572f-ad2a-110e-0eda-78dc50b8e13d,1
89,"Rest on the Flight into Egypt",331981,7120b4c6-fbd6-ea4e-f346-0b696596a6c5,1
66,"A Young Man Caressing the Young Hostess",302938,ab1dfe48-14e8-b546-7e35-581c401db240,1
24645,"Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series ""Thirty-Six Views of Mount Fuji (Fugaku sanjurokkei)""",420539,b3974542-b9b4-7568-fc4b-966738f61d78,1
80607,Self-Portrait,385524,26d3cea8-44c0-bfbd-a91a-19a007517152,1
23,"The Arch of Septimus Severus",288528,33115537-53c1-840b-5e74-07cb07c7b05d,1
56,"Anne of Austria, Queen of France",309947,862d8842-708f-ebff-1f4c-e49a8ef51283,1
48,"Mower Honing a Scythe",292470,a302e9f4-7c4b-86c5-524f-594a42b7b182,1
11144,"Orphrey Band",185595,516d9e71-6e59-1e6d-2db0-f29f3b40dd6c,1
454,"Statuette of a Seated Girl",369722,38ea638d-c8f7-f916-da08-ac7730b6ed5a,1
111442,"The Child's Bath",385005,5de963b1-55e2-b349-6cd5-85f9bd2687ec,1
110,"Hyacinthe Rigaud",316733,04026cea-3052-f4ba-d88e-46b1cd006d1a,1
594,"Ring with a Scarab Bezel",210814,d15a761e-4eff-d57d-d5d3-12753754795e,1
9484,"“- Here, Eudoxie, take my bear skin... since from now on I will not have the pleasure any more to wear it, I give it to you to make a muff out of it... This way I have at least the satisfaction of seeing it from time to time”",291097,356ed3ab-74ca-ae08-5660-2da2a81c1208,1
59426,"White Crucifixion",406221,cefba431-1241-6240-3a92-ffa787e5fa49,
93798,"Picture of Dorian Gray",246431,aa2b57e9-3773-03c1-0fb4-0135e7358dc6,
95,"Daniel Mytens",299263,35203a2e-8500-a561-159f-46b2ac76ca7b,1
99,"Jan Lievens",281919,7b7a064b-39f5-23d6-d5b5-319a7c631ece,1
44,"The Prophet Amos",273149,64e623da-4205-4719-6812-4a9dc6e697e8,1
7624,"Komurasaki of the Miuraya and Shirai Gompachi (Miuraya Komurasaki, Shirai Gompachi)",199134,66c4dafb-2f53-f5ac-b676-32cafbe5b6bd,1
158,"Pelike (Storage Jar)",363600,b07e0166-e0be-8dd4-fce6-245e84836574,1
34181,"Time Transfixed",409998,6a7160ea-df65-9083-c16c-33b30662208d,
76244,Excavation,381791,6e72d851-0c15-978f-d0cf-0eadb94c0cf9,
205,"Bowl with Large Diamond-Shaped Area Interior with Dotted Lines and Diamonds, and Interlocking Stepped Motifs",417289,1aa5f4fd-76df-dc28-0831-be64ba5f5c97,1
614,"Amphoriskos (Container for Oil)",76154,36a3f0f7-9bda-2c93-fee8-7c264d5ce01f,1
94841,"The Song of the Lark",403355,48b2de88-ba73-8e19-f448-d1cef4a1c847,1
616,"Pyxis (Container for Personal Objects)",363521,aeb6ae53-78e6-b76d-1993-dd108da55710,1
61128,"At the Moulin Rouge",237949,defb4004-b500-218d-3d9b-9a02423f097d,1
164,"Column-Krater (Mixing Bowl)",368225,f7c96efa-2b60-565e-3b03-a3acf7f79ea9,1
100858,"Sky above Clouds IV",247518,8fa4d1dd-b05f-eb8d-b83f-7b5dd65642db,
793,Kesa,220679,3e00591b-2fd7-4abb-576e-843f605f548b,1
4714,"Ideal Pastoral Life",290152,3cb2a7b7-f4ee-8cc8-bb14-1754cf1e8507,1
874,Landscape,414646,3a34f988-f779-2e96-1786-8945b6b9c87d,1
